Timestamp,Source IP,Message,Label
40:49.0,192.168.1.68,Normal operation,0
18:49.0,192.168.1.234,High CPU usage,0
54:49.0,192.168.1.104,High CPU usage,0
20:49.0,192.168.1.142,High CPU usage,0
42:49.0,192.168.1.167,DDoS detected,1
45:49.0,192.168.1.11,Failed login attempt,0
16:49.0,192.168.1.235,High CPU usage,0
56:49.0,192.168.1.63,Failed login attempt,0
28:49.0,192.168.1.162,High CPU usage,0
20:49.0,192.168.1.53,Failed login attempt,0
57:49.0,192.168.1.64,High CPU usage,0
14:49.0,192.168.1.193,Normal operation,0
07:49.0,192.168.1.208,DDoS detected,1
38:49.0,192.168.1.49,High CPU usage,0
03:49.0,192.168.1.177,High CPU usage,0
00:49.0,192.168.1.163,Failed login attempt,0
18:49.0,192.168.1.12,Failed login attempt,0
11:49.0,192.168.1.110,Failed login attempt,0
50:49.0,192.168.1.119,Failed login attempt,0
20:49.0,192.168.1.190,Failed login attempt,0
25:49.0,192.168.1.12,High CPU usage,0
54:49.0,192.168.1.92,Normal operation,0
45:49.0,192.168.1.224,High CPU usage,0
27:49.0,192.168.1.70,Normal operation,0
12:49.0,192.168.1.137,DDoS detected,1
38:49.0,192.168.1.109,Normal operation,0
11:49.0,192.168.1.69,Connection timeout,0
13:49.0,192.168.1.78,DDoS detected,1
01:49.0,192.168.1.190,Failed login attempt,0
31:49.0,192.168.1.43,High CPU usage,0
22:49.0,192.168.1.84,Connection timeout,0
18:49.0,192.168.1.193,Failed login attempt,0
42:49.0,192.168.1.218,Failed login attempt,0
18:49.0,192.168.1.106,High CPU usage,0
06:49.0,192.168.1.228,Connection timeout,0
33:49.0,192.168.1.174,Connection timeout,0
02:49.0,192.168.1.36,Failed login attempt,0
33:49.0,192.168.1.134,Normal operation,0
34:49.0,192.168.1.19,DDoS detected,1
08:49.0,192.168.1.1,DDoS detected,1
09:49.0,192.168.1.231,Failed login attempt,0
28:49.0,192.168.1.232,Connection timeout,0
31:49.0,192.168.1.24,DDoS detected,1
51:49.0,192.168.1.245,Normal operation,0
34:49.0,192.168.1.125,DDoS detected,1
48:49.0,192.168.1.226,Failed login attempt,0
37:49.0,192.168.1.41,Normal operation,0
48:49.0,192.168.1.23,Normal operation,0
13:49.0,192.168.1.129,Failed login attempt,0
27:49.0,192.168.1.119,Failed login attempt,0
47:49.0,192.168.1.178,High CPU usage,0
22:49.0,192.168.1.35,High CPU usage,0
04:49.0,192.168.1.65,Failed login attempt,0
44:49.0,192.168.1.250,Normal operation,0
33:49.0,192.168.1.252,Connection timeout,0
31:49.0,192.168.1.112,Failed login attempt,0
04:49.0,192.168.1.97,DDoS detected,1
01:49.0,192.168.1.202,Normal operation,0
44:49.0,192.168.1.112,Failed login attempt,0
04:49.0,192.168.1.241,DDoS detected,1
51:49.0,192.168.1.208,High CPU usage,0
43:49.0,192.168.1.130,Normal operation,0
44:49.0,192.168.1.217,Failed login attempt,0
07:49.0,192.168.1.85,Failed login attempt,0
22:49.0,192.168.1.12,High CPU usage,0
18:49.0,192.168.1.10,Failed login attempt,0
08:49.0,192.168.1.62,Failed login attempt,0
23:49.0,192.168.1.63,Connection timeout,0
49:49.0,192.168.1.122,Connection timeout,0
47:49.0,192.168.1.96,Connection timeout,0
55:49.0,192.168.1.176,Normal operation,0
28:49.0,192.168.1.120,Normal operation,0
17:49.0,192.168.1.97,High CPU usage,0
59:49.0,192.168.1.147,DDoS detected,1
52:49.0,192.168.1.27,High CPU usage,0
44:49.0,192.168.1.131,High CPU usage,0
26:49.0,192.168.1.6,High CPU usage,0
45:49.0,192.168.1.116,Failed login attempt,0
30:49.0,192.168.1.216,Failed login attempt,0
37:49.0,192.168.1.124,Failed login attempt,0
00:49.0,192.168.1.126,High CPU usage,0
00:49.0,192.168.1.39,DDoS detected,1
03:49.0,192.168.1.131,Normal operation,0
